borough,block,lot,cd,ct2010,cb2010,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,condono,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes,Year
MN,1976,39,109,203,1000,03,7,10027,E047,26,1800,1,1Q,506 WEST 122 STREET,R8,,,,,,,,,,N,D1,03,0,,TRUSTEES OF COLUMBIA UNIVERSITY,4796,20238,0,20238,0,0,0,0,0,0,2,0001,6,29,29,50.00,95.92,50.00,82.00,N,3,N,5,2,90000,967500,793350,1910,0,0,,,4.22,6.02,0,6.5,1,1019760039,,0203,995565,234652,40.8107340553872,-73.9591251008821,5c,,107N079,10707,,,,1,20v1,09,16,,,,,,,,,,,0106000020E6100000010000000103000000010000000700000080B41E7C627D52C0024776F1C067444002AC1EB4637D52C05C5951F8C1674440CFB0B88E637D52C049DB295EC2674440A07958F7647D52C0F40BF98DC3674440FAD7BA22627D52C015DBA143CB67444025A91A825F7D52C056F0FA0CC967444080B41E7C627D52C0024776F1C0674440,,,2020
MN,1998,38,109,219,1008,05,7,10027,E080,26,1100,1,2A,602 WEST 132 STREET,C6-1,,,,,,MMU,,,,N,V1,11,0,,THE TRUSTEES OF COLUMBIA UNIVERSITY,4996,0,,,,,,,,,7,0001,0,0,0,50.00,99.92,0.00,0.00,,0,N,5,5,70650,1068750,0,0,0,0,,,0.00,3.44,6,6.5,1,1019980038,,0219,996082,237391,40.8182511667826,-73.9572526347619,5c,,111S002,10707,,,,1,20v1,09,16,,,,,,,,,,,0106000020E61000000100000001030000000100000005000000D8030DCE407D52C065993363BF6844402444BFAF437D52C0CABE9974B7684440C502DD58467D52C072349AB3B96844404EBF936C437D52C0F2E24299C1684440D8030DCE407D52C065993363BF684440,,,2020
MN,1896,34,109,205,3000,03,7,10025,E047,26,8800,1,1A,612 WEST 115 STREET,R8,,,,,,,,,,N,W6,08,0,X,TRUSTEES OF COLUMBIA,5046,31890,31890,0,0,0,0,0,0,31890,2,0001,8,26,28,50.00,100.92,50.00,84.00,N,3,N,5,2,351450,1214550,1214550,1906,0,0,Morningside Heights Historic District,,6.32,6.02,0,6.5,1,1018960034,,0205,993785,233502,40.8075797246934,-73.9655568989353,5c,,107N063,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E610000001000000010300000001000000050000009E185CDFC87D52C07C14C5E36167444074CB67E1CB7D52C02006C0A4596744408482EE7DCE7D52C0EEBA0AD15B6744408F88E47BCB7D52C0A9311410646744409E185CDFC87D52C07C14C5E361674440,,,2020
MN,1895,68,109,199,1000,03,7,10025,E047,26,2310,1,1A,618 WEST 114 STREET,R8,,,,,,,,,,N,V1,11,0,,TRUSTEES OF COLUMBIA UNIVERSITY,2523,0,,,,,,,,,7,0,0,0,0,25.00,100.92,0,0,,0,N,5,5,320850,320850,0,0,0,0,,,0.00,6.02,0,6.5,1,1018950068,,0199,993669,233268,40.80693758381,-73.9659762518237,5c,,107N063,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E6100000010000000103000000010000000500000011CA9877D07D52C0216CA82D4D6744409CDAC956D37D52C07B08104E456744405EDB548FD47D52C06BFB3F534667444097B822B0D17D52C070ADD6324E67444011CA9877D07D52C0216CA82D4D674440,,,2020
MN,1881,1,107,195,3001,03,7,10025,E076,24,2310,1,5B,2820 BROADWAY,R9A,,,,C1-5,,EC-3,,,,N,C7,04,0,,TRUSTEES OF COLUMBIA UNIVERSITY,3010,13600,3000,10600,0,3000,0,0,0,0,2,0001,5,12,14,35.00,86.00,34.00,86.00,N,2,N,5,2,180000,752850,0,1925,0,0,,,4.52,7.52,0,7.5,1,1018810001,,0195,993468,232024,40.803523358583,-73.9667040213095,5d,,107S051,10703,,,,1,20v1,07,16,,,,,,,,,,,0106000020E61000000100000001030000000100000009000000E042FDB3DB7D52C0FFDD3786D966444094F899C7DB7D52C0F3E17750D966444009BE31BEDB7D52C004DB8B48D9664440A44228F0DB7D52C02C5F9FBFD8664440B3C291F9DB7D52C039558DC7D866444042A497CCDC7D52C0103E4185D6664440EEE22B3AE17D52C05540FE3FDA6644404AC89121E07D52C0A424F740DD664440E042FDB3DB7D52C0FFDD3786D9664440,,,2020
MN,1867,74,109,201.01,1001,03,7,10025,E047,26,1800,1,1B,1129 AMSTERDAM AVENUE,R8,,,,C1-4,,,,,,N,D7,04,0,,TRUSTEES OF COLUMBIA UNIVERSITY,10092,36664,5000,31664,0,5000,0,0,0,0,2,0001,7,45,48,100.92,100.00,85.00,98.00,N,2,N,3,2,720000,2633400,1953801,1925,0,0,,,3.63,6.02,0,6.5,1,1018670074,,020101,995071,233094,40.8064583959962,-73.9609121635631,5c,,107N067,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E61000000100000001030000000100000005000000A56F6196807D52C082B6948F406744404AAE12607B7D52C071AF392D3C674440B150AC7D7E7D52C03A1E7389336744409D59A9D8837D52C08FE09A0B38674440A56F6196807D52C082B6948F40674440,,,2020
MN,1998,6,109,219,1008,05,7,10027,E080,26,1100,1,2A,653 WEST 131 STREET,C6-1,,,,,,MMU,,,,N,G1,10,0,,THE TRUSTEES OF COLUMBIA UNIVERSITY,4996,4996,4996,0,0,0,4996,0,0,0,2,0001,1,0,1,50.00,99.92,50.00,100.00,N,2,N,5,0,69750,422100,0,1930,0,0,,,1.00,3.44,6,6.5,1,1019980006,,0219,995575,237559,40.8187129440192,-73.9590840712484,5c,,111S002,10707,,,,1,20v1,09,16,,,,,,,,,,,0106000020E610000001000000010300000001000000060000009D056CD95E7D52C02B47C762CE684440CFBE36B5617D52C0307AC694C6684440F2FE2453647D52C00F0A50CAC8684440B4F62C7B637D52C0E93AF617CB6844406DF85B77617D52C0927C4D98D06844409D056CD95E7D52C02B47C762CE684440,,,2020
MN,1976,29,109,203,1000,03,7,10027,E047,26,1800,1,1B,1240 AMSTERDAM AVENUE,R8,,,,C1-4,,,,,,N,D7,04,0,,TRUSTEES OF COLUMBIA UNIVERSITY,10092,45210,4000,41210,0,4000,0,0,0,0,2,0001,6,36,41,100.92,100.00,101.00,86.00,N,2,N,3,2,223200,2104650,1262790,1926,1987,0,,,4.48,6.02,0,6.5,1,1019760029,,0203,995629,234502,40.8103222648858,-73.9588941582378,5c,,107N079,10707,,,,1,20v1,09,16,,,,,,,,,,,0106000020E61000000100000001030000000100000006000000D8FA465A5A7D52C093624FA4BA674440CB31886E5D7D52C057065341B267444049DCFBAA627D52C016739DAAB6674440D06833BE5F7D52C037461EA2BE674440848EBB965F7D52C0B5D99C0DBF674440D8FA465A5A7D52C093624FA4BA674440,,,2020
MN,1867,30,109,201.01,1002,03,7,10025,E047,26,1800,1,1B,408 WEST 115 STREET,R8,,,,,,,,,,N,V1,11,0,X,TRUSTEES OF COLUMBIA UNIVERSITY,3364,0,,,,,,,,,7,0001,0,0,0,33.33,100.92,0,0,,0,N,5,5,409500,409500,409500,0,0,0,,,0.00,6.02,0,6.5,1,1018670030,,020101,995147,232747,40.8055058833436,-73.9606381980864,5c,,107N067,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E6100000010000000103000000010000000500000001EB9BC1787D52C01229BD321E6744400A3EC8AD7B7D52C04327051816674440F29DDA527D7D52C08C45397A1767444040D8AF667A7D52C001ADEF941F67444001EB9BC1787D52C01229BD321E674440,,,2020
MN,1976,56,109,203,1000,03,7,10027,E047,26,1800,1,1A,532 WEST 122 STREET,R8,,,,,,,,,,N,G1,10,0,,TRUSTEES OF COLUMBIA UNIVERSITY,9092,40160,40160,0,0,0,40160,0,0,0,2,0001,4,0,1,100.00,90.92,100.00,86.00,N,2,N,5,2,207000,1652850,0,1926,2006,0,,,4.42,6.02,0,6.5,1,1019760056,,0203,995171,234871,40.8113356452936,-73.9605480506322,5c,,107N079,10707,,,,1,20v1,09,16,,,,,,,,,,,0106000020E610000001000000010300000001000000060000007C45338A757D52C017FB749CDB674440AF89F665787D52C0A7714CD3D36744403C42BF96797D52C0B6BE0DD4D46744402996B0A57D7D52C0A0C1453FD86744402FE5ECC97A7D52C08F417108E06744407C45338A757D52C017FB749CDB674440,,,2020
