"Borough","Block","Lot","CD","CT2000","CB2000","SchoolDist","Council","ZipCode","FireComp","HealthArea","HealthCtr","PolicePrct","Address","ZoneDist1","ZoneDist2","ZoneDist3","ZoneDist4","Overlay1","Overlay2","SPDist1","SPDist2","LtdHeight","AllZoning1","AllZoning2","SplitZone","BldgClass","LandUse","Easements","OwnerType","OwnerName","LotArea","BldgArea","ComArea","ResArea","OfficeArea","RetailArea","GarageArea","StrgeArea","FactryArea","OtherArea","AreaSource","NumBldgs","NumFloors","UnitsRes","UnitsTotal","LotFront","LotDepth","BldgFront","BldgDepth","ProxCode","IrrLotCode","LotType","BsmtCode","AssessLand","AssessTot","ExemptLand","ExemptTot","YearBuilt","BuiltCode","YearAlter1","YearAlter2","HistDist","Landmark","BuiltFAR","MaxAllwFAR","BoroCode","BBL","CondoNo","Tract2000","XCoord","YCoord","ZoneMap","ZMCode","Sanborn","TaxMap","EDesigNum","APPBBL","APPDate","PLUTOMapID","Version"
"MN", 1198,  53,107," 169   ","1001 ","03",06,"10024","E074",3500,16,020,"52 WEST 85 STREET           ","R8B      ","         ","         ","         ","    ","    ","      ","      ","     ","R8B                        ","                     ","N","A5","01", 0,"X","TRUSTEES OF COLUMBIA ",000002043,00000006266,00000000000,00000006266,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,"7",00001,004.00,00001,00001,0020.00,0102.17,0020.00,0070.00,"3","N","5","1",00000162088,00000219801,00000162088,00000219801,1900,"E",1988,1998,"Upper West Side/Central Park West       ","                                   ",0003.07,04.00,1,1011980053,00000,"0169  ",0992087,0225329,"5d "," ","107S023 ","10408","     ",0000000000,"          ",1,"11v1  "
"MN", 1867,   9,109," 201.01","1002 ","03",09,"10025","E047",1800,16,026,"411 WEST 114 STREET         ","R8       ","         ","         ","         ","    ","    ","      ","      ","     ","R8                         ","                     ","N","I5","08", 0," ","TRUSTEES OF COLUMBIA ",000010092,00000042672,00000042672,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000042672,"7",00001,006.00,00024,00024,0100.00,0100.92,0100.00,0086.00,"3","N","5","2",00000409500,00001765800,00000000000,00000000000,1910," ",0000,0000,"                                        ","                                   ",0004.23,06.02,1,1018670009,00000,"020101",0995068,0232674,"5c "," ","107N067 ","10703","     ",0000000000,"          ",1,"11v1  "
"MN", 1867,  23,109," 201.01","1002 ","03",09,"10025","E047",1800,16,026,"402 WEST 115 STREET         ","R8       ","         ","         ","         ","    ","    ","      ","      ","     ","R8                         ","                     ","N","D7","04", 0," ","TRUSTEES OF COLUMBIA ",000010417,00000047145,00000007145,00000040000,00000007145,00000000000,00000000000,00000000000,00000000000,00000000000,"7",00001,006.00,00037,00041,0100.00,0104.17,0076.00,0096.00,"1","Y","3","2",00000360000,00001059300,00000288000,00000847440,1920,"E",1988,0000,"                                        ","                                   ",0004.53,06.02,1,1018670023,00000,"020101",0995259,0232686,"5c "," ","107N067 ","10703","     ",0000000000,"          ",1,"11v1  "
"MN", 1867,  29,109," 201.01","1002 ","03",09,"10025","E047",1800,16,026,"        WEST 115 STREET     ","R8       ","         ","         ","         ","    ","    ","      ","      ","     ","R8                         ","                     ","N","G7","10", 0,"X","TRUSTEES OF COLUMBIAU",000006500,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,"7",00000,000.00,00000,00000,0065.33,0100.92,0000.00,0000.00,"0","Y","5","5",00000190350,00000190350,00000190350,00000190350,0000," ",0000,0000,"                                        ","                                   ",0000.00,06.02,1,1018670029,00000,"020101",0995189,0232725,"5c "," ","107N067 ","10703","     ",0000000000,"          ",1,"11v1  "
"MN", 1867,  30,109," 201.01","1002 ","03",09,"10025","E047",1800,16,026,"408 WEST 115 STREET         ","R8       ","         ","         ","         ","    ","    ","      ","      ","     ","R8                         ","                     ","N","V1","11", 0," ","TRUSTEES OF COLUMBIA ",000003364,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,"4",00000,000.00,00000,00000,0033.33,0100.92,0000.00,0000.00,"0","N","5","5",00000585000,00000585000,00000000000,00000000000,1920," ",0000,0000,"                                        ","                                   ",0000.00,06.02,1,1018670030,00000,"020101",0995148,0232747,"5c "," ","107N067 ","10703","     ",0000000000,"          ",1,"11v1  "
"MN", 1867,  31,109," 201.01","1002 ","03",09,"10025","E047",1800,16,026,"410 WEST 115 STREET         ","R8       ","         ","         ","         ","    ","    ","      ","      ","     ","R8                         ","                     ","N","V1","11", 0," ","TRUSTEES OF COLUMBIA ",000003364,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,"4",00000,000.00,00000,00000,0033.33,0100.92,0000.00,0000.00,"0","N","5","5",00000585000,00000585000,00000000000,00000000000,1920," ",0000,0000,"                                        ","                                   ",0000.00,06.02,1,1018670031,00000,"020101",0995119,0232763,"5c "," ","107N067 ","10703","     ",0000000000,"          ",1,"11v1  "
"MN", 1867,  33,109," 201.01","1002 ","03",09,"10025","E047",1800,16,026,"412 WEST 115 STREET         ","R8       ","         ","         ","         ","    ","    ","      ","      ","     ","R8                         ","                     ","N","V1","11", 0," ","TRUSTEES OF COLUMBIA ",000003364,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,"4",00000,000.00,00000,00000,0033.33,0100.92,0000.00,0000.00,"0","N","5","5",00000585000,00000585000,00000000000,00000000000,1920," ",0000,0000,"                                        ","                                   ",0000.00,06.02,1,1018670033,00000,"020101",0995089,0232780,"5c "," ","107N067 ","10703","     ",0000000000,"          ",1,"11v1  "
"MN", 1867,  42,109," 201.01","1001 ","03",09,"10025","E047",1800,16,026,"1125 AMSTERDAM AVENUE       ","R8       ","         ","         ","         ","C1-4","    ","      ","      ","     ","C1-4/R8                    ","                     ","N","W5","08", 0,"X","TRUSTEES OF COLUMBIA ",000010068,00000083170,00000083170,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000083170,"7",00002,010.00,00000,00001,0100.68,0100.00,0100.68,0100.00,"0","N","3","5",00000775350,00014553900,00000775350,00014553900,1997," ",0000,0000,"                                        ","                                   ",0008.26,06.02,1,1018670042,00000,"020101",0995018,0233002,"5c "," ","107N067 ","10703","     ",1018670042,"12/05/1991",1,"11v1  "
"MN", 1867,  46,109," 201.01","1001 ","03",09,"10025","E047",1800,16,026,"419 WEST 115 STREET         ","R8       ","         ","         ","         ","    ","    ","      ","      ","     ","R8                         ","                     ","N","D1","03", 0," ","TRUSTEES OF COLUMBIA ",000006728,00000028188,00000000000,00000028188,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,"7",00001,006.00,00024,00024,0066.67,0100.92,0067.00,0084.00,"2","N","5","2",00000432450,00001822050,00000397854,00001676286,1925,"E",1985,0000,"                                        ","                                   ",0004.19,06.02,1,1018670046,00000,"020101",0995093,0232960,"5c "," ","107N067 ","10703","     ",0000000000,"          ",1,"11v1  "
"MN", 1867,  49,109," 201.01","1001 ","03",09,"10025","E047",1800,16,026,"415 WEST 115 STREET         ","R8       ","         ","         ","         ","    ","    ","      ","      ","     ","R8                         ","                     ","N","D1","03", 0," ","TRUSTEES OF COLUMBIA ",000006728,00000028188,00000000000,00000028188,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,"7",00001,006.00,00024,00024,0066.67,0100.92,0067.00,0084.00,"3","N","5","2",00000390600,00001497600,00000371070,00001422720,1920,"E",1985,0000,"                                        ","                                   ",0004.19,06.02,1,1018670049,00000,"020101",0995151,0232928,"5c "," ","107N067 ","10703","     ",0000000000,"          ",1,"11v1  "
