Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCenterDistrict,HealthArea,SanitBoro,SanitDistrict,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLAG,PFIRM15_FLAG,Version
MN,1198,53,107,169,2000,3,6,10024,E074,20,16,3500,1,7,3A,52 WEST 85 STREET           ,R8B      ,         ,         ,         ,    ,    ,      ,      ,      ,     ,N,A5,1,0,X,TRUSTEES OF COLUMBIA ,2043,6266,0,4866,0,0,0,0,0,0,2,1,4,1,1,20,102.17,20,70,E ,3,N,5,1,82470,276480,82470,276480,1900,1988,1998,Upper West Side/Central Park West Histor,                                   ,3.07,4,0,4,1,1011980053,0,169,992086,225329,5d , ,107S023 ,10408,     ,0,          ,1, , ,17V1  
MN,1867,9,109,201.01,1002,3,7,10025,E047,26,16,1800,1,9,1B,411 WEST 114 STREET         ,R8       ,         ,         ,         ,    ,    ,      ,      ,      ,     ,N,I5,8,0, ,TRUSTEES OF COLUMBIA ,10092,42672,42672,0,0,0,0,0,0,42672,2,1,6,24,24,100,100.92,100,86,  ,3,N,5,2,409500,2512350,0,0,1910,0,0,                                        ,                                   ,4.23,6.02,0,6.5,1,1018670009,0,20101,995068,232674,5c , ,107N067 ,10703,     ,0,          ,1, , ,17V1  
MN,1867,23,109,201.01,1002,3,7,10025,E047,26,16,1800,1,9,1B,402 WEST 115 STREET         ,R8       ,         ,         ,         ,    ,    ,      ,      ,      ,     ,N,D7,4,0, ,TRUSTEES OF COLUMBIA ,10417,47145,7145,40000,7145,0,0,0,0,0,2,1,6,32,36,100,104.17,76,96,  ,1,Y,3,2,360000,1424250,313200,1239098,1920,1988,0,                                        ,                                   ,4.53,6.02,0,6.5,1,1018670023,0,20101,995263,232680,5c , ,107N067 ,10703,     ,0,          ,1, , ,17V1  
MN,1867,29,109,201.01,1002,3,7,10025,E047,26,16,1800,1,9,1B,        WEST 115 STREET     ,R8       ,         ,         ,         ,    ,    ,      ,      ,      ,     ,N,G7,10,0,X,TRUSTEES OF COLUMBIAU,6500,0,0,0,0,0,0,0,0,0,7,0,0,0,0,65.33,100.92,0,0,  ,0,Y,5,5,268200,268200,268200,268200,0,0,0,                                        ,                                   ,0,6.02,0,6.5,1,1018670029,0,20101,995188,232724,5c , ,107N067 ,10703,     ,0,          ,1, , ,17V1  
MN,1867,30,109,201.01,1002,3,7,10025,E047,26,16,1800,1,9,1B,408 WEST 115 STREET         ,R8       ,         ,         ,         ,    ,    ,      ,      ,      ,     ,N,V1,11,0,X,TRUSTEES OF COLUMBIA ,3364,0,0,0,0,0,0,0,0,0,4,0,0,0,0,33.33,100.92,0,0,  ,0,N,5,5,359100,359100,359100,359100,0,0,0,                                        ,                                   ,0,6.02,0,6.5,1,1018670030,0,20101,995147,232747,5c , ,107N067 ,10703,     ,0,          ,1, , ,17V1  
MN,1867,31,109,201.01,1002,3,7,10025,E047,26,16,1800,1,9,1B,410 WEST 115 STREET         ,R8       ,         ,         ,         ,    ,    ,      ,      ,      ,     ,N,V1,11,0,X,TRUSTEES OF COLUMBIA ,3364,0,0,0,0,0,0,0,0,0,4,0,0,0,0,33.33,100.92,0,0,  ,0,N,5,5,359100,359100,359100,359100,0,0,0,                                        ,                                   ,0,6.02,0,6.5,1,1018670031,0,20101,995119,232763,5c , ,107N067 ,10703,     ,0,          ,1, , ,17V1  
MN,1867,33,109,201.01,1002,3,7,10025,E047,26,16,1800,1,9,1B,412 WEST 115 STREET         ,R8       ,         ,         ,         ,    ,    ,      ,      ,      ,     ,N,V1,11,0,X,TRUSTEES OF COLUMBIA ,3364,0,0,0,0,0,0,0,0,0,4,0,0,0,0,33.33,100.92,0,0,  ,0,N,5,5,359100,359100,359100,359100,0,0,0,                                        ,                                   ,0,6.02,0,6.5,1,1018670033,0,20101,995088,232779,5c , ,107N067 ,10703,     ,0,          ,1, , ,17V1  
MN,1867,42,109,201.01,1001,3,7,10025,E047,26,16,1800,1,9,1B,1125 AMSTERDAM AVENUE       ,R8       ,         ,         ,         ,C1-4,    ,      ,      ,      ,     ,N,W5,8,0,X,TRUSTEES OF COLUMBIA ,10068,83170,83170,0,0,0,0,0,0,83170,2,2,10,0,1,100.68,100,100.68,100,  ,0,N,3,5,351450,19064250,351450,19064250,1997,0,0,                                        ,                                   ,8.26,6.02,0,6.5,1,1018670042,0,20101,995018,233001,5c , ,107N067 ,10703,     ,1018670042,12/5/1991,1, , ,17V1  
MN,1867,46,109,201.01,1001,3,7,10025,E047,26,16,1800,1,9,1B,419 WEST 115 STREET         ,R8       ,         ,         ,         ,    ,    ,      ,      ,      ,     ,N,D1,3,0, ,TRUSTEES OF COLUMBIA ,6728,28188,0,28188,0,0,0,0,0,0,2,1,6,24,24,66.67,100.92,67,84,  ,2,N,5,2,432450,2025450,402179,1883670,1925,1985,0,                                        ,                                   ,4.19,6.02,0,6.5,1,1018670046,0,20101,995093,232960,5c , ,107N067 ,10703,     ,0,          ,1, , ,17V1  
MN,1867,49,109,201.01,1001,3,7,10025,E047,26,16,1800,1,9,1B,415 WEST 115 STREET         ,R8       ,         ,         ,         ,    ,    ,      ,      ,      ,     ,N,D1,3,0, ,TRUSTEES OF COLUMBIA ,6728,28188,0,28188,0,0,0,0,0,0,2,1,6,24,24,66.67,100.92,67,84,  ,3,N,5,2,390600,2112300,359352,1943316,1920,1985,0,                                        ,                                   ,4.19,6.02,0,6.5,1,1018670049,0,20101,995151,232928,5c , ,107N067 ,10703,     ,0,          ,1, , ,17V1  
